index,time,x,y,地磁Y,地磁Z,磁偏角,气压,步长,单步转动角,偏航角,俯仰角,滚转角
887,13696.45,137.952598839654,-33.1006052790202,23.986827310016,-28.99257659943,-0.879603309720889,989.65918,0.635669466650703,0.00344193102743457,-1.481994,-0.070396,-0.057488
924,13696.91,137.36007400435,-33.096128074687,26.253895773242,-24.805649804321,-0.757041902792425,989.66217,0.592541750268328,-0.0124078560223408,-1.343695,-0.100889,-0.06133
968,13697.45,136.700154283992,-33.1400332011593,27.132332122289,-23.769289683439,-0.719424591718668,989.647156,0.661378633951666,0.0739891100731384,-1.36174,-0.093683,-0.066222
1007,13697.93,136.059207808687,-33.1731339666084,29.760319713648,-22.892126369898,-0.655686606626532,989.656067,0.641800627048371,-0.0148353743970098,-1.251409,-0.094913,-0.075753
1051,13698.47,135.487599013124,-33.1916858244824,27.946852337014,-27.987835201334,-0.786130854662742,989.650574,0.571909771376109,-0.0191536067192064,-1.281666,-0.108773,-0.019151
1084,13698.88,134.952345638176,-33.2213176478263,29.89950900221,-25.814974741629,-0.712217190173686,989.658752,0.536072961776888,0.0228597888235024,-1.356645,-0.142154,-0.070426
1129,13699.43,134.333785156039,-33.2638290233281,29.855956243587,-25.407758758287,-0.70508093402951,989.657471,0.620019586068479,0.0133144888485066,-1.484182,-0.127433,-0.091653
1175,13700,133.790658014319,-33.2923023912754,30.068614431291,-25.355834126606,-0.700571497585404,989.659851,0.543872985865867,-0.016241486094755,-1.531669,-0.102218,-0.065125
1208,13700.41,133.248893277051,-33.3382269503202,30.583702732519,-23.376394121637,-0.652616682379852,989.655457,0.543707730008168,0.0321893666012353,-1.529073,-0.05739,-0.084099
1256,13701,132.650195819618,-33.3508266402858,30.491295997439,-23.697741374993,-0.660681148680234,989.668274,0.598830024066777,-0.0635242204634432,-1.491479,-0.091827,-0.065059
1300,13701.54,132.096683687826,-33.3396644246143,30.106934193135,-23.863522471875,-0.670228065809931,989.669678,0.553624669879696,-0.0412054938075919,-1.537218,-0.045145,-0.052995
1338,13702.01,131.524360803512,-33.3358984643612,30.620048197238,-20.996616875347,-0.601074029883501,989.649963,0.572335274438207,0.0135833923624855,-1.409663,-0.086384,-0.083734
1382,13702.55,130.896902246944,-33.3271490395629,28.364197371283,-24.357655531612,-0.709549999226251,989.661865,0.627519555587885,-0.00736328647262721,-1.426096,-0.065671,-0.099696
