index,time,x,y,µØ´ÅY,µØ´ÅZ,´ÅÆ«½Ç,ÆøÑ¹,²½³¤,µ¥²½×ª¶¯½Ç,Æ«º½½Ç,¸©Ñö½Ç,¹ö×ª½Ç,,,,,,,,,,,,,,,,,,,,µØ´ÅY,µØ´ÅZ,´ÅÆ«½Ç,ÆøÑ¹,,,
1061,3247.700464,62.71404708,-32.69047391,23.87874497,-39.69450981,-1.029228418,996.243896,0.610965915,-0.013365195,-0.869495,-0.07029,-0.094723,,,,,,,,,,,,,,,,,,,,30.27926226,-37.40288963,-0.89026327,997.69342,-1.066524,-0.185489,-0.068088
1097,3248.144541,62.4560363,-32.67842185,24.22210157,-40.74256248,-1.034419004,996.241699,0.258292107,-0.007969018,-0.841267,-0.100366,-0.038666,,,,,,,,,,,,,,,,,,,,30.04675842,-37.58996043,-0.896464455,997.69342,-1.063374,-0.183886,-0.06178
1154,3248.847595,61.80207837,-32.65508318,20.65190769,-46.16658086,-1.150161182,996.241211,0.654374261,0.011004307,-0.968805,-0.083983,-0.082034,,,,,,,,,,,,,,,,,,,,30.76152751,-37.47132675,-0.883419794,997.69342,-1.016407,-0.182326,-0.05532
1197,3249.37795,61.04447552,-32.58796087,20.37807322,-48.19820568,-1.170792829,996.239685,0.760570497,-0.052694343,-1.021387,-0.058991,-0.031929,,,,,,,,,,,,,,,,,,,,30.72396299,-37.50212435,-0.884421753,997.695007,-1.015913,-0.182016,-0.054317
1238,3249.883679,60.31004031,-32.57876225,17.34261398,-50.20801306,-1.238211731,996.23999,0.734492817,0.075843447,-1.273161,-0.03887,0.01162,,,,,,,,,,,,,,,,,,,,31.25117475,-37.44535005,-0.875322221,997.695007,-1.042449,-0.182889,-0.057508
1292,3250.549704,59.5736366,-32.54423437,18.17213317,-48.6411243,-1.213257062,996.246094,0.737212723,-0.034328746,-1.334828,-0.029107,0.020504,,,,,,,,,,,,,,,,,,,,31.49904424,-36.93961484,-0.864726913,997.695007,-1.065431,-0.184065,-0.061297
1331,3251.030745,58.8845668,-32.530794,19.9554583,-46.47642906,-1.16523237,996.239807,0.689200861,0.02735023,-1.468649,-0.01514,-0.06971,,,,,,,,,,,,,,,,,,,,31.70984275,-36.75882372,-0.859006416,997.695007,-1.06681,-0.186525,-0.066564
1375,3251.573383,58.26500162,-32.52845626,19.84319202,-45.21631432,-1.157253101,996.252502,0.61956959,0.015729433,-1.396326,-0.049986,-0.025839,,,,,,,,,,,,,,,,,,,,31.64825867,-36.70970852,-0.8593066,997.695007,-1.063998,-0.187973,-0.067915
1419,3252.116165,57.57682256,-32.55334218,21.45068694,-42.51394861,-1.103510206,996.251099,0.688628878,0.039919416,-1.383245,0.007798,-0.096932,,,,,,,,,,,,,,,,,,,,31.64791295,-36.71000613,-0.859316012,997.695007,-1.061788,-0.189509,-0.067034
1477,3252.831595,56.93909758,-32.53671793,21.71926693,-42.95337107,-1.10264089,996.26062,0.637941621,-0.062208385,-1.297678,-0.04591,-0.05827,,,,,,,,,,,,,,,,,,,,31.56562851,-36.78082728,-0.861555911,997.695007,-1.055148,-0.192752,-0.062559
1524,3253.411268,56.27162158,-32.5048768,20.44825457,-44.70129487,-1.141770804,996.263123,0.668235043,-0.021605497,-1.34272,-0.00654,-0.125476,,,,,,,,,,,,,,,,,,,,31.5020739,-36.83521588,-0.863281765,997.695007,-1.04901,-0.195909,-0.058697
1570,3253.978651,55.59084566,-32.4838571,20.96681205,-45.68292606,-1.140513106,996.256836,0.681100338,0.016801359,-1.285306,-0.050725,-0.07619,,,,,,,,,,,,,,,,,,,,31.4293059,-36.89741798,-0.865256858,997.703552,-1.03907,-0.201432,-0.053089
1606,3254.422713,54.92502967,-32.48736491,20.95247438,-46.55820262,-1.147919481,996.260437,0.665825235,0.036134667,-1.371139,-0.031633,-0.092991,,,,,,,,,,,,,,,,,,,,31.26331409,-36.9726124,-0.868873707,997.703552,-1.041039,-0.205252,-0.050247
1653,3255.002419,54.21639361,-32.47314541,22.99970215,-47.18496825,-1.117249487,996.261414,0.708778708,-0.025331696,-1.332814,-0.08954,-0.088565,,,,,,,,,,,,,,,,,,,,30.99920354,-37.07101049,-0.874361891,997.703552,-1.051017,-0.209997,-0.048398
1709,3255.693119,53.55749988,-32.46125592,24.4543694,-45.42126707,-1.076910189,996.262939,0.65900099,0.002020651,-1.41354,-0.035154,-0.110928,,,,,,,,,,,,,,,,,,,,31.02148392,-37.05236501,-0.873760681,997.703552,-1.048927,-0.211764,-0.048071
1754,3256.248153,52.91768432,-32.45869401,28.39073018,-45.60727161,-1.013993567,996.266357,0.639820696,0.014038559,-1.447326,-0.083491,-0.121682,,,,,,,,,,,,,,,,,,,,31.05389803,-37.19012008,-0.875072909,997.703552,-1.046322,-0.21316,-0.047579
1803,3256.852519,52.2836291,-32.44290753,26.23908906,-44.52201537,-1.038243859,996.265442,0.634251707,-0.0208884,-1.541013,-0.051669,-0.134683,,,,,,,,,,,,,,,,,,,,30.64592626,-37.341879,-0.883569123,997.703552,-1.054933,-0.21302,-0.04576
1844,3257.358223,51.71303412,-32.42777454,27.24148668,-43.70021866,-1.013368664,996.264526,0.570795619,-0.0016227,-1.476637,-0.12413,-0.018362,,,,,,,,,,,,,,,,,,,,30.50062892,-37.46063779,-0.887453772,997.703552,-1.052276,-0.212359,-0.041572
1892,3257.950377,51.08993719,-32.41076037,25.28448917,-44.73463652,-1.056350188,996.253113,0.623329178,-0.000783827,-1.5616,0.03798,-0.066357,,,,,,,,,,,,,,,,,,,,30.65058711,-37.7928057,-0.889374042,997.703552,-1.047091,-0.212044,-0.038801
1936,3258.493145,50.46287883,-32.34887037,25.49357799,-44.89251126,-1.054329064,996.264954,0.630105196,-0.071081273,-1.41768,-0.000162,-0.03816,,,,,,,,,,,,,,,,,,,,30.52536037,-37.89403059,-0.892683204,997.699036,-1.044554,-0.211622,-0.03514
1983,3259.072812,49.82090766,-32.33009445,23.04239349,-47.26596183,-1.117194578,996.266724,0.642245686,0.069141343,-1.493691,0.003302,-0.08937,,,,,,,,,,,,,,,,,,,,30.22717265,-37.72709005,-0.895320423,997.699036,-1.058007,-0.21146,-0.034004
2027,3259.615464,49.17428795,-32.31202106,23.53638735,-46.80931837,-1.104899938,996.256836,0.646872243,0.001295674,-1.509583,-0.024751,-0.041813,,,,,,,,,,,,,,,,,,,,30.39411287,-37.64641111,-0.891585169,997.699036,-1.050404,-0.211296,-0.034787
2073,3260.1829,48.5119501,-32.30762429,20.4790973,-47.66500708,-1.164996753,996.238281,0.662352447,0.021305124,-1.505221,0.009211,-0.03688,,,,,,,,,,,,,,,,,,,,30.45664605,-37.59586434,-0.889923322,997.699036,-1.051204,-0.211805,-0.036448
2119,3260.750328,47.9144455,-32.29846379,21.90167686,-47.8351453,-1.141427402,996.248413,0.597574819,-0.008691882,-1.540239,-0.061435,-0.020357,,,,,,,,,,,,,,,,,,,,30.53116354,-37.53535696,-0.887939429,997.699036,-1.051386,-0.212914,-0.038138
2164,3261.305325,47.265708,-32.31332213,22.25156347,-47.01815589,-1.128772958,996.254211,0.648907629,0.03822951,-1.643877,-0.013707,-0.083117,,,,,,,,,,,,,,,,,,,,30.96036185,-37.48573929,-0.880446893,997.699036,-1.056314,-0.215147,-0.038096
2208,3261.848064,46.61569883,-32.34656533,21.74291727,-48.08620419,-1.146143121,996.253418,0.650858687,0.028198678,-1.641502,-0.03086,0.030954,,,,,,,,,,,,,,,,,,,,31.01207729,-37.44296683,-0.879066511,997.699036,-1.052692,-0.218394,-0.037835
2246,3262.316794,46.00882642,-32.47662929,19.78963584,-47.43713568,-1.175571274,996.250916,0.620653494,0.160026503,-1.899293,0.048672,0.055846,,,,,,,,,,,,,,,,,,,,31.01574201,-37.27612587,-0.876813663,997.699036,-1.04807,-0.222401,-0.036264
2298,3262.958181,45.3810651,-32.54403059,19.34209022,-46.52105891,-1.176768932,996.252136,0.631369309,-0.104166668,-1.742605,0.028731,0.059935,,,,,,,,,,,,,,,,,,,,31.00388129,-37.28602136,-0.877132201,997.701721,-1.046151,-0.223464,-0.035258
2343,3263.513232,44.73965006,-32.62924685,18.81317278,-44.57590339,-1.171428668,996.252319,0.647051051,0.025125194,-1.775048,0.038016,-0.021342,,,,,,,,,,,,,,,,,,,,30.75757137,-37.7776811,-0.887472806,997.701721,-1.040217,-0.22159,-0.034733
2389,3264.080601,44.12617118,-32.71384418,18.41460149,-44.65963291,-1.179704217,996.264954,0.619284301,0.004950288,-1.691001,-0.034987,-0.038257,,,,,,,,,,,,,,,,,,,,31.0330494,-37.52759171,-0.879843322,997.701721,-1.054015,-0.217317,-0.035045
2434,3264.635712,43.53138124,-32.7695605,18.28850462,-43.93115705,-1.176318373,996.256226,0.597393829,-0.04363207,-1.655665,0.007539,-0.06757,,,,,,,,,,,,,,,,,,,,30.91363513,-37.62602675,-0.883021266,997.701721,-1.066565,-0.207064,-0.037193
2479,3265.190737,42.89614658,-32.78881954,18.80967655,-43.71497766,-1.164462064,996.25824,0.635526538,-0.063092677,-1.458561,-0.07944,-0.078259,,,,,,,,,,,,,,,,,,,,30.69086122,-37.15853779,-0.880435008,997.701721,-1.079955,-0.197839,-0.037788
2527,3265.782801,42.20387188,-32.79935536,17.02394697,-43.56906796,-1.198302701,996.252319,0.692354865,-0.015090743,-1.46394,-0.038646,-0.099438,,,,,,,,,,,,,,,,,,,,30.86726961,-37.21999712,-0.878431548,997.701721,-1.100817,-0.185327,-0.041699
2568,3266.288527,41.53224371,-32.79095212,18.06370894,-43.33286615,-1.175841067,996.242004,0.671680741,-0.02772907,-1.288219,-0.071436,-0.06535,,,,,,,,,,,,,,,,,,,,30.86197428,-37.22434414,-0.878573232,997.701721,-1.11138,-0.177918,-0.045314
