3.6499999985,10.5001000129
10.1300999969,10.5001187325
10.1300999969,18.2464067936
10.1300999969,0.4003000036
10.1300999969,10.5001187325
14.1077500023,10.5001173392
14.1077500023,18.2464067936
14.1077500023,0.4003000036
14.1077500023,10.5001173392
18.1257999986,10.5001171492
18.1257999986,18.2465000004
18.1257999986,0.4003000036
18.1257999986,10.5001171492
22.0113999993,10.5001179017
22.0113999993,18.2465000004
22.0113999993,0.4003000036
22.0113999993,10.5001179017
25.3231509738,10.5001151003
25.3231509738,18.2465000004
25.3231509738,0.4002996273
25.3231509738,10.5001151003
29.6692999974,10.5001176484
29.6692999974,18.2465000004
29.6692999974,0.4001999982
29.6692999974,10.5001176484
34.4366500042,10.500119403
34.4366500042,0.4003000036
34.4366500042,10.500119403
38.1139000021,10.5001226887
38.1139000021,0.4003000036
38.1139000021,10.5001226887
50.5885241553,10.5001255311
50.5885241553,23.5007000081
50.5885241553,10.5001255311
59.6439305767,10.5001998283
