-24.68,54.89
-24.95,54.34
-25.22,53.78
-25.53,53.14
-25.81,52.53
-26.12,51.88
-26.4,51.28
-26.71,50.65
-26.98,50.03
-26.98,50.03
-27.28,49.36
-27.52,48.75
-27.66,48.12
-27.49,46.59
-27.79,47.43
-27.91,46.79
-28.02,46.12
-28.11,45.41
-28.2,44.77
-29.04,41.74
-28.32,44.06
-28.45,43.39
-28.64,42.71
-28.8,42.07
-29.4,40.48
-28.94,41.41
-29.13,40.73
-29.44,40.15
-29.83,39.63
-30.21,39.14
-30.49,38.53
-30.72,37.92
-30.92,37.33
-31.2,36.66
-31.45,36.03
-31.76,35.37
-32.09,34.75
-32.09,34.75
-32.44,34.12
-29.81,33.75
-32.66,33.6
-32.89,32.95
-31.19,29.34
-33.11,32.32
-33.35,31.69
-33.64,31.05
-33.96,30.47
-34.3,29.89
-34.76,29.38
-35.22,28.9
-35.71,28.42
-36.17,27.93
-36.62,27.42
-36.62,27.42
-36.99,26.9
-37.26,26.37
-33.1,28.52
-37.26,25.76
-37.32,24.99
-37.38,24.25
-37.47,23.55
-37.56,22.84
-37.75,22.12
-37.89,21.4
-38.01,20.66
-34.57,18.01
-38.08,20.01
-38.16,19.29
-38.21,18.62
-38.27,17.9
-38.32,17.18
-38.38,16.5
-38.45,15.82
-38.5,15.12
-38.52,14.46
-38.54,13.75
-38.54,13.06
-38.52,12.43
-38.48,11.74
-38.46,11
-38.46,11
-38.43,10.35
-38.55,9.75
-38.71,9.08
-37.69,8.04
-38.88,8.4
-39.03,7.71
-39.16,7.04
-39.24,6.37
-39.33,5.66
-39.37,5.02
-39.42,4.33
-39.47,3.66
-39.55,2.98
-39.63,2.3
-39.72,1.59
-39.72,1.59
-39.78,1.04
-39.93,0.43
-40.11,-0.27
-40.35,-0.96
-40.59,-1.61
-40.86,-2.22
-41.14,-2.9
-41.41,-3.54
-41.66,-4.21
-41.92,-4.8
-42.19,-5.41
-42.47,-6.01
-42.71,-6.63
-42.97,-7.27
-43.25,-7.95
-43.25,-7.95
-43.5,-8.7
-43.68,-9.23
-43.94,-9.89
-44.16,-10.49
-44.41,-11.1
