index,time,x,y,地磁Y,地磁Z,磁偏角,气压,步长,单步转动角,偏航角,俯仰角,滚转角
34,3921.5,76.126,-33.68,37.277211404974,-37.032447445197,-0.7821043375558,993.637146,0.521,0.524,-1.351885,-0.121516,-0.064521
93,3922.23,75.4983170926556,-33.7336153682769,35.011533740526,-36.781383692536,-0.810045323820254,993.649841,0.629968602303133,0.135211081914247,-1.461989,-0.136901,-0.082808
143,3922.85,74.8826255006555,-33.7175889101327,33.408977849085,-37.441502622378,-0.842252807584423,993.644958,0.615900141110754,-0.11123521507869,-1.33531,-0.139925,-0.049005
191,3923.44,74.1196222699361,-33.7614462927566,33.536600131294,-37.4753054324,-0.840806811860873,993.643127,0.764262651252077,0.0834408983982899,-1.448334,-0.066517,-0.07353
236,3923.99,73.4239205595022,-33.7851733221716,32.410687402854,-37.265910447012,-0.854967970761488,993.647156,0.69610620010565,-0.0233248031092736,-1.431054,-0.086003,-0.081639
282,3924.56,72.7472762684082,-33.8123206524605,31.777247474265,-37.669913561228,-0.870046476717884,993.637451,0.677188654816314,0.0060070658757253,-1.423695,-0.053232,-0.097999
323,3925.07,72.0313384315632,-33.8194670931861,31.614903283159,-40.015999397635,-0.902147927396533,993.648865,0.715973503588889,-0.0301174304125934,-1.322142,-0.041917,-0.045477
372,3925.67,71.3301376780901,-33.8542869285064,29.075756616176,-39.246263588858,-0.933174314254029,993.656372,0.702064753141061,0.0396350879632328,-1.433593,-0.037649,-0.096426
416,3926.21,70.6080117392556,-33.9075856606819,30.296500836097,-37.122117912462,-0.886296679434582,993.650452,0.724090205975159,0.0240578086777168,-1.395665,-0.054555,-0.039661
463,3926.79,69.907557183416,-33.9436938910312,29.316879584207,-35.291935018016,-0.877616356546625,993.648865,0.701384622796469,-0.0221703722184073,-1.425698,-0.066152,-0.099786
506,3927.32,69.2455384658479,-33.9404375035169,29.602273155272,-35.104483867695,-0.870227117109983,993.642456,0.662026726401713,-0.0564229576338941,-1.343723,-0.092402,-0.035041
553,3927.9,68.6271955608036,-33.9243182172221,29.102748556705,-37.049837969666,-0.904957912273771,993.649536,0.618552972355048,-0.0211437847579355,-1.455428,-0.083544,-0.104319
597,3928.44,67.9588942411396,-33.9222807849127,27.065518125999,-36.978368091738,-0.938961710888301,993.64624,0.668304425389416,0.0230139566468435,-1.467649,-0.113071,-0.026549
643,3929.01,67.3097394784214,-33.9114329602251,26.916125939435,-35.884637940081,-0.927248001975654,993.64325,0.649245393715049,-0.0136604721110935,-1.518812,-0.027907,-0.030329
688,3929.57,66.6614071104275,-33.8791396838415,24.627683983682,-35.590746325268,-0.965480829525598,993.641724,0.649136129858895,-0.0330594874660753,-1.396543,-0.1167,-0.036554
734,3930.13,65.9718829900513,-33.8376268883565,24.992409220746,-33.477367877189,-0.929509174154918,993.661865,0.690772628850886,-0.0103637879067866,-1.378039,-0.03698,-0.139128
777,3930.67,65.3053956741736,-33.7968431894219,23.399420173652,-34.283422888734,-0.971892554971638,993.668091,0.667733968227343,-0.000983393517056805,-1.172261,-0.154499,-0.08675
823,3931.23,64.6343417330282,-33.7836444819444,21.227751101135,-37.735707869795,-1.05837837354354,993.672607,0.67118372879995,0.0414497167076277,-1.109759,-0.040799,-0.084508
868,3931.79,63.9899420168181,-33.7765980876835,21.913365708692,-41.537296133123,-1.08534552689808,993.663391,0.644438240581437,0.00873170482263073,-1.021723,-0.04523,-0.013381
915,3932.37,63.2862645933211,-33.7563208344975,20.756783249646,-43.871382040845,-1.12887640746821,993.655457,0.703969518755036,-0.0178737649190045,-1.101887,-0.013283,-0.055923
959,3932.91,62.5800587686056,-33.7441301742976,21.384570714293,-41.970688356914,-1.09956808076723,993.665161,0.706311035633921,0.0115476709109777,-1.072952,-0.075975,-0.029381
1005,3933.48,61.9268057672918,-33.729399420107,19.72873616307,-41.129986797537,-1.12354626386608,993.66449,0.653419068320195,-0.00528554719282257,-1.25501,-0.022583,-0.075718
1049,3934.02,61.2605902826166,-33.7235404560041,20.57208316595,-38.536798860925,-1.08045272862954,993.655273,0.666241247208058,0.0137518531542364,-1.271406,-0.057399,-0.038997
1097,3934.61,60.5956632306387,-33.7403529212773,20.629840337506,-37.379390756421,-1.06649238322532,993.658081,0.665139566888506,0.0340734613295475,-1.457249,-0.015796,-0.081623
1129,3935.01,59.9931643572626,-33.7445928868923,23.090632683416,-36.002542027161,-1.00051808561565,993.653564,0.602513792147403,-0.0182421057578686,-1.289898,-0.070568,-0.036914
1186,3935.71,59.3534326025555,-33.7584227708448,23.516699109532,-34.99375617258,-0.979092880249232,993.652344,0.63988122622155,0.0145777034738959,-1.354302,-0.059926,-0.067786
1229,3936.24,58.7105745673439,-33.7649372971301,23.357396262707,-38.119789198913,-1.02106415928356,993.646545,0.642891042470557,-0.011481541165985,-1.318869,-0.102359,-0.026836
1271,3936.76,58.0744848049929,-33.8426698766194,22.012245242445,-39.979066002895,-1.06749696584533,993.641541,0.640821769044859,0.111467515276716,-1.45549,-0.060847,-0.025724
1319,3937.35,57.3484916518981,-33.8616385466378,23.92770457446,-40.050874352585,-1.03226663804245,993.655457,0.726240916489015,-0.095478913951537,-1.477276,-0.06828,0.022727
1366,3937.93,56.7082831271599,-33.8869825257425,22.530075309033,-39.332540373177,-1.05060939293546,993.667664,0.640709975280799,0.0134444611251929,-1.644972,-0.046682,-0.022544
1410,3938.47,56.0753646000242,-33.8934892876717,24.853734215553,-36.856181589398,-0.977497662316268,993.676208,0.632951972856092,-0.0292862032828697,-1.578864,-0.089755,0.01715
1457,3939.05,55.4763780920471,-33.8999475046796,24.940558404071,-35.968292735405,-0.964510932833206,993.666077,0.599021322913869,0.000501283745054485,-1.660108,-0.014708,-0.032009
1502,3939.61,54.8025026393457,-33.901668633156,26.34405884948,-34.008191658845,-0.911712068708483,993.675476,0.673877650643538,-0.008227420049846,-1.770967,-0.0864,0.012337
1551,3940.21,54.1159858510593,-33.9251632042431,26.158947371919,-29.396293466175,-0.843604898722902,993.673706,0.686918696404218,0.0316554438278085,-1.891479,-0.079469,-0.054481
1595,3940.75,53.4247538500443,-33.9314827382812,25.521720518507,-23.732778849209,-0.749093751104051,993.656372,0.691260888332,-0.0250673469147878,-1.715186,-0.101292,-0.034957
1643,3941.35,52.7832465577339,-33.9344824381045,24.129522669114,-23.832432625307,-0.779203957127687,993.659973,0.641514305597647,-0.00446618220697323,-1.488573,-0.066374,-0.033708
1686,3941.88,52.1118271747263,-33.9196278029431,24.366795484243,-29.207957182924,-0.875516156015117,993.659363,0.671583686567906,-0.0267966029323279,-1.336648,-0.07677,0.014519
1734,3942.47,51.4814030226177,-33.9285139853489,24.459456695672,-36.456648787061,-0.97985560634277,993.65686,0.63048677686337,0.0362152468204065,-1.501108,-0.039923,-0.027739
1777,3943,50.8013686602873,-33.9308154458936,23.865462089841,-41.654178011061,-1.0505094489461,993.658386,0.680038256770055,-0.0107103112239807,-1.480473,-0.049315,-0.023572
1825,3943.59,50.0972140199484,-33.9434653977205,23.326025455104,-42.97683752288,-1.07353013465764,993.64032,0.704268257691647,0.0145784863633371,-1.745435,-0.01864,-0.039065
1864,3944.07,49.4166194009439,-33.9581408105344,22.224838623708,-44.261730415694,-1.10545165650993,993.641052,0.680752820896914,0.00359649008802874,-1.650241,-0.039341,-0.023109
1915,3944.7,48.7186367587018,-33.9762298905646,21.677415720279,-41.083205857326,-1.08527680307492,993.654663,0.698217003293081,0.00435113872052053,-1.832866,-0.073139,-0.071679
1951,3945.15,48.0920755137189,-33.9988472890832,21.706158299402,-40.50415160917,-1.07884317806983,993.661255,0.626969329736554,0.010171567245768,-1.802063,-0.086434,-0.011233
1997,3945.71,47.4443090775729,-34.0325927523107,22.473069233215,-34.139233195176,-0.988624522473845,993.648743,0.648644827379115,0.0159660595335516,-1.943656,-0.083439,-0.056049
2047,3946.33,46.7875777927804,-34.0187420892151,21.39538220728,-26.966147952974,-0.900082728339038,993.654846,0.656877325909041,-0.0731352376440851,-1.949047,-0.071341,-0.032066
2095,3946.92,46.1538465540835,-34.0238442949659,15.67490814328,-17.845239822144,-0.850054992379088,993.652344,0.633751777436449,0.0291380609772956,-1.874641,-0.060106,-0.105454
2131,3947.37,45.5984243949284,-34.009032203299,16.348488364196,-15.936330321363,-0.772632545661073,993.657349,0.555619629728871,-0.0347127311737554,-1.261379,-0.070285,-0.053651
2187,3948.06,44.9256414922376,-33.9970085256125,20.950827523353,-25.45547734682,-0.882164774577566,993.658081,0.672890335031023,0.00879219480219234,-1.017813,-0.039246,-0.07358
2230,3948.59,44.2661529666794,-33.9844149831281,23.935068684468,-31.316245471837,-0.918204604193698,993.652039,0.65960875726088,-0.0012239487216741,-1.07442,-0.095936,-0.056871
2277,3949.17,43.6255131254837,-34.0041339180983,22.847487802769,-35.434477538951,-0.998098554680436,993.653564,0.640943244385673,0.0498639514650494,-1.332128,-0.001542,-0.075088
2322,3949.72,42.9739978910379,-34.0233952249712,23.803803003617,-37.280255048097,-1.00254112932466,993.66748,0.651799891575133,-0.00121509455782612,-1.323226,-0.02106,-0.015955
2368,3950.29,42.3234892085819,-34.0158094339348,23.699369020035,-37.494785506572,-1.00712835219576,993.676697,0.650552911127407,-0.0412160471413584,-1.324546,0.016546,-0.079849
2412,3950.83,41.6883677562975,-34.0089728706364,24.526703269579,-38.207922764809,-1.00011716525101,993.678284,0.635158246226492,0.000897026273671357,-1.385726,-0.052639,-0.030433
2460,3951.42,41.0328576681066,-34.0138832878326,23.49156836381,-39.305269397484,-1.03209204794657,993.674805,0.65552847986726,0.0182546132568034,-1.454244,-0.040282,-0.055085
2504,3951.97,40.366540929355,-33.9891198652426,25.002579638727,-40.136119867576,-1.01367640844563,993.696533,0.6667767418252,-0.044638391085354,-1.384853,-0.049103,-0.018332
2550,3952.53,39.6890846174045,-33.9553682845349,23.262533296472,-42.555205048948,-1.07053360728243,993.692627,0.678296560364153,-0.0126323396408862,-1.400706,0.011969,-0.072709
2594,3953.08,39.0379909639895,-33.9508538609949,24.017431071566,-42.929578304432,-1.0607183108118,993.68512,0.651109303832455,0.0428463945877214,-1.371303,-0.052582,-0.048373
2641,3953.66,38.4584196228566,-33.9066234602267,25.687311395948,-42.451075852738,-1.02663241059012,993.679199,0.581256628189909,-0.0692345834033419,-1.486261,0.039574,-0.099173
